If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Steak Tartare com Salada Verde,Evernote anuncia integração com Google Drive | Google Discovery,Google Cloud Goes to the Farm,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Wide & Deep Learning: Better Together with TensorFlow,Here's proof that Google is getting serious about battling Facebook in a key area
The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Dries Buytaert,Why Is Learning Drupal Hard?,Acquia Engage Awards Finalists Announced,Who sponsors Drupal development? | Dries Buytaert
Starbucks tem mais dinheiro do cliente em cartões do que bancos,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games
Advanced Android Espresso,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,The technology behind preview photos,Using DiffUtil in Android RecyclerView,On DRY and the cost of wrongful abstractions,Android Studio 2.2
Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Cia. Hering sincroniza diferentes marcas em um único portal de compras
What to look for in a code review ,14 Cool Drupal 8 modules for site builders | August 2016,Drupal and ambitious digital experiences,Why Is Learning Drupal Hard?,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Distributions remain a growing opportunity for Drupal - Buytaert
"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone","What do you mean by ""Event-Driven""?",When to make a Git Commit,Don't document your code. Code your documentation.,Labelling automated builds on Docker Hub - Microscaling Systems,Inteligência artificial da IBM criou 'trailer perfeito' para filme
Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Laboratório da Disney cria robô que pula,The hardest thing in computer science
VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Changing change management,Por que a limitação da banda larga é uma forma de ignorar o futuro,Como resolver conflitos no ambiente corporativo us,Skill swarms - a new way to share expertise and work smarter together - Skillhive
"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,A digital crack in banking's business model,Accidental discovery could help batteries last years longer,Usability Heuristics for Bots - Chatbots Magazine,The rise of APIs
Listas com RecyclerView - Android Dev BR,My experience with Google's Associate Android Developer Certification,What makes a good (Android) Software Engineer,Using DiffUtil in Android RecyclerView,Android Developers Summer Reading List,Advanced Android Espresso
Kotlin no Backend (Parte 2) :: Concrete Solutions,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Micro Profile JavaEE com Wildfly Swarm,Communication patterns in a Microservice world
O que é liderança? Liderança é fazer a diversidade funcionar.,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","No dia das mães, Avon lança campanha com mãe de jovem gay",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Neural networks are inadvertently learning our language's hidden gender biases,Introducing Ask a Female Engineer
"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Innovation is in all the wrong places,Why the customer experience matters,Assessing Salesforce's platform and ecosystem | ZDNet,You won't recognize the new world of digital payments without this report,The economic essentials of digital strategy
Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"A whole new GitHub Universe: announcing new tools, forums, and features",bliki: StranglerApplication,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Squads não-suicidas - Hipsters #08
How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,Livro: Retrospectivas Divertidas,"Para neurociência, motivação não é fator principal em mudança de hábitos",4 Reasons Managers Should Spend More Time on Coaching,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files"
"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Closure Compiler in JavaScript,Internet of Things Drives Outcome-Based Business Models,Cubr,Standing on the Shoulders of Giants - Built to Adapt,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão
"5 awesome Google Keep features you aren't using, but should be",8 Insanely Simple Productivity Hacks,Algorithms and architecture for job recommendations,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Top 10 Intranet Trends of 2016,Chat Smarter with Allo
5 reasons your employees aren't sharing their knowledge,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Why Google App Engine rocks: A Google engineer's take,"Secret's founder returns with Bold, a Medium for enterprise","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,Communication patterns in a Microservice world,One weird trick that will change the way you code forever: JavaScript TDD,Our password hashing has no clothes,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Standing on the Shoulders of Giants - Built to Adapt
"How to build a robot that ""sees"" with $100 and TensorFlow",Cubr,"Don't Start Big, Start a Little Snowball",bliki: StranglerApplication,Closure Compiler in JavaScript,Google's cloud platform is now a force to be reckoned with
Getting Started with Activity & Fragment Transitions (part 1),StrictMode for Runtime Analysis on Android - Google Developers,Building more accessible technology,"Fresco, sim! - Android Dev BR",What the Google I/O schedule tells us about the future of Android,Firebase Test Lab for Android
Building more accessible technology,Getting Started with Activity & Fragment Transitions (part 1),Progressive Web App - first introduced on Google I/O | airberlin,Why porting an iOS design to Android will not work,Designing smart notifications,"Google acquires Synergyse, an interactive training service for Google Apps"
Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Gartner: em 2020 não haverá mais aplicativos,Rewiring Citi for the digital age,Containers are not VMs,Gartner Reprint,Discutindo Devops na Prática
Engineering Digital Banking Solutions Using UX Methodology,Banking Needs a Customer Experience Wake-Up Call,Assessing Salesforce's platform and ecosystem | ZDNet,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The surprising truth about which countries lead in digital,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC
This startup uses machine learning and satellite imagery to predict crop yields,Why image recognition is about to transform business,Google's Cloud Machine Learning service is now in public beta,"Hello, TensorFlow!",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Wide & Deep Learning: Better Together with TensorFlow
"Para neurociência, motivação não é fator principal em mudança de hábitos",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Ordering coffee in Italy: the 10 commandments,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",The barbell effect of machine learning.,This Super Accurate Portrait Selection Tech Uses Neural Networks
Google lança YouTube Kids no Brasil | Google Discovery,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,5 reasons your employees aren't sharing their knowledge,"Hello, a nova rede social do Orkut, está liberada no Brasil",Acesse a versão Material Design do YouTube | Google Discovery,Powering a more connected and collaborative enterprise
The Broken Window Theory,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Custo do Erro - Cinco motivos para investir em automação de testes,10 Modern Software Over-Engineering Mistakes,Prisma for Android is now live for all in the Google Play Store,Anti-If: The missing patterns
Android Developers Summer Reading List,"Fresco, sim! - Android Dev BR",Programação Reativa Funcional com RxJava,StrictMode for Runtime Analysis on Android - Google Developers,My experience with Google's Associate Android Developer Certification,Creating Compound Views on Android
Clean Coder Blog,Dark Scrum,The Importance of Code Reviews,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Berners-Lee quer criar outra Web,Being A Developer After 40 - Free Code Camp
